baseline,orientation,C,train_auroc,val_auroc,test_auroc,ood_test_auroc,val_ci_lo,test_ci_lo,ood_test_ci_lo,val_ci_hi,test_ci_hi,ood_test_ci_hi
scalar:think_logprob,as-is,,0.5074316249999999,0.7708333333333334,0.6949702541914549,0.807372175980975,0.634991361788618,0.6028684875066455,0.6964178571428572,0.8977350713012477,0.8062078019504875,0.9051521739130434
scalar:think_logit,as-is,,0.498368375,0.529320987654321,0.6014061654948621,0.5766944114149821,0.38990892088542733,0.48409921713250514,0.44061364850427354,0.6989077380952381,0.7242336408466309,0.7030471380471378
scalar:think_margin,as-is,,0.5076860000000001,0.76195987654321,0.6838831800973499,0.8026159334126041,0.6246346302748741,0.5905601153504881,0.6935483870967742,0.8906928983714697,0.7898772444046833,0.9018665520612128
scalar:next_token_entropy,as-is,,0.50338975,0.5046296296296297,0.4640346133044889,0.5778834720570749,0.3589699074074075,0.27884526529807546,0.4421004271859606,0.6312297549833886,0.638607015045624,0.7216016666666667
scalar:top1_logprob,as-is,,0.49451175,0.5223765432098765,0.6084369929691725,0.4482758620689655,0.39483071289740385,0.42825972042344734,0.31106410256410255,0.6908725071225068,0.7839509875850559,0.5820603174603173
scalar:top1_is_think,as-is,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
multivariate:output_only,,0.01,0.51235875,0.7067901234567902,0.5608436992969172,0.7265160523186682,0.5476143159966689,0.44344018348863307,0.6066762804259636,0.8367377357447044,0.6919014522334833,0.843308559983133
