depth,block_index,C,train_auroc,val_auroc,test_auroc,ood_test_auroc,val_ci_lo,val_ci_hi,test_ci_lo,test_ci_hi,ood_test_ci_lo,ood_test_ci_hi
8,7,0.01,0.9931827499999999,0.6250000000000001,0.7063277447268793,0.6991676575505351,0.5391684704184704,0.7599999999999999,0.6056604795608841,0.7967405689548547,0.562962962962963,0.8202201354679802
24,23,0.01,0.9999815000000001,0.7253086419753086,0.7950243374797187,0.8323424494649226,0.5821620947376994,0.8644941744813869,0.7061430431547618,0.8834021384021384,0.7246598208248817,0.9241155753968254
40,39,10.0,1.0,0.8966049382716049,0.9085992428339643,0.9036860879904876,0.815706043956044,0.9848581973581974,0.8348876103922045,0.9664920455925927,0.8340689964157705,0.9655199353448276
56,55,10.0,1.0,0.8958333333333333,0.965386695511087,0.9643281807372175,0.8101445101182128,0.9652826619778346,0.9265297525829678,0.9911287133984029,0.8993524492234171,0.9999999999999999
64,63,10.0,1.0,0.8441358024691359,0.9069767441860466,0.89179548156956,0.7465809481216459,0.9355568181818182,0.8585671699574138,0.9511683987488648,0.8057103174603175,0.9609002703445748
